acc,gamma,graph,mse_naive,mse_our,rate,seed
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,30
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,31
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,32
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,33
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,34
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,35
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,36
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,37
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,38
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,39
0.0,0.05,WS_N_100_K_30_P_0.2,0.4074074074074074,1.0,3,30
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,31
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,32
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,33
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,34
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,35
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,36
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,37
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,38
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,39
0.0,0.05,WS_N_100_K_30_P_0.2,0.3848927505370848,0.9842675033801521,5,30
0.0,0.05,WS_N_100_K_30_P_0.2,0.3533811418035675,0.9775522506215226,5,31
0.0,0.05,WS_N_100_K_30_P_0.2,0.352624650062438,0.9917717031207893,5,32
0.0,0.05,WS_N_100_K_30_P_0.2,0.3528279985008442,0.9842675033801521,5,33
0.0,0.05,WS_N_100_K_30_P_0.2,0.3407440483913103,0.9727094611723488,5,34
0.0,0.05,WS_N_100_K_30_P_0.2,0.35064247608358634,0.97642288934416,5,35
