gamma,rate,seed,acc,mse_our,mse_naive,graph
0.2,34,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.2,34,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.2,34,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.2,34,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.2,34,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.2,35,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.2,35,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.2,35,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.2,35,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.2,35,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.2,36,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.2,36,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.2,36,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.2,36,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.2,36,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.2,37,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.2,37,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.2,37,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.2,37,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.2,37,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.2,38,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.2,38,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.2,38,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.2,38,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.2,38,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.2,39,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.2,39,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.2,39,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.2,39,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.2,39,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.2,40,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.2,40,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.2,40,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.2,40,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.2,40,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.3,30,0,0.98,0.1414213562373095,0.3749368231918706,WS_N_100_K_30_P_0.2
0.3,30,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.3,30,2,0.99,0.1,0.3736719371252514,WS_N_100_K_30_P_0.2
0.3,30,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.3,30,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.3,31,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.3,31,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.3,31,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.3,31,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.3,31,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.3,32,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.3,32,1,0.99,0.1,0.373772261851258,WS_N_100_K_30_P_0.2
0.3,32,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.3,32,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.3,32,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.3,33,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.3,33,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.3,33,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
