acc,gamma,graph,mse_naive,mse_our,rate,seed
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,10
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,11
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,12
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,13
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,14
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,15
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,16
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,17
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,18
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,19
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,10
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,11
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,12
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,13
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,14
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,15
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,16
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,17
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,18
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,19
0.0,0.05,BA_N_100_M_11,0.7886487678833846,0.9744031256349528,5,10
0.0,0.05,BA_N_100_M_11,0.729208558467656,0.9721793275817752,5,11
0.0,0.05,BA_N_100_M_11,0.48003816931140797,0.9354850796157432,5,12
0.0,0.05,BA_N_100_M_11,0.7393395423269565,0.9778187639575098,5,13
0.0,0.05,BA_N_100_M_11,0.6628841810451599,0.9528708133943086,5,14
0.0,0.05,BA_N_100_M_11,0.6354153368785687,0.9545220925450928,5,15
0.0,0.05,BA_N_100_M_11,0.5705492073345527,0.9824475588675,5,16
0.0,0.05,BA_N_100_M_11,0.8358042652406239,0.9690579471537352,5,17
0.0,0.05,BA_N_100_M_11,0.5560346739322405,1.0,5,18
0.0,0.05,BA_N_100_M_11,1.0,1.0,5,19
0.03225806451612903,0.05,BA_N_100_M_11,0.43306875575411563,0.7001235753874997,7,10
0.045454545454545456,0.05,BA_N_100_M_11,0.4629532033144233,0.7048593119196939,7,11
0.015384615384615385,0.05,BA_N_100_M_11,0.453498982970865,0.7041866459863028,7,12
0.0,0.05,BA_N_100_M_11,0.5209984330738853,0.7468235270237311,7,13
0.041666666666666664,0.05,BA_N_100_M_11,0.435056521409015,0.6666399665287517,7,14
