acc,gamma,graph,mse_naive,mse_our,rate,seed
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,30
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,31
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,32
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,33
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,34
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,35
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,36
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,37
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,38
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,39
0.0,0.05,BA_N_100_M_11,0.6875,1.0,3,30
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,31
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,32
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,33
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,34
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,35
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,36
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,37
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,38
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,39
0.0,0.05,BA_N_100_M_11,0.6467612547523844,0.9917717031207893,5,30
0.0,0.05,BA_N_100_M_11,0.7808341473306304,0.973015549340944,5,31
0.0,0.05,BA_N_100_M_11,0.6922554139583658,0.9905246353596855,5,32
0.0,0.05,BA_N_100_M_11,0.8558199137759913,1.0,5,33
0.0,0.05,BA_N_100_M_11,0.6725023015500519,0.9774639364588645,5,34
0.0,0.05,BA_N_100_M_11,0.5727944910388016,0.9910728876888698,5,35
0.0,0.05,BA_N_100_M_11,0.9592387027684448,1.0,5,36
0.0,0.05,BA_N_100_M_11,0.6456537898601761,0.9846777692401112,5,37
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,5,38
0.0,0.05,BA_N_100_M_11,0.3793103448275862,1.0,5,39
0.0,0.05,BA_N_100_M_11,0.45814631471181394,0.7317231003973451,7,30
0.0410958904109589,0.05,BA_N_100_M_11,0.41950883016627805,0.6661718330876887,7,31
0.058823529411764705,0.05,BA_N_100_M_11,0.4949254215344132,0.7145583859474451,7,32
0.0,0.05,BA_N_100_M_11,0.5183166794477544,0.7432873852884028,7,33
0.018518518518518517,0.05,BA_N_100_M_11,0.4822843886135835,0.7512109650554635,7,34
0.014925373134328358,0.05,BA_N_100_M_11,0.4804140559630497,0.7001610757881727,7,35
0.0,0.05,BA_N_100_M_11,0.5006307685924404,0.7163819836839804,7,36
0.0,0.05,BA_N_100_M_11,0.47612586021172326,0.7233035965888983,7,37
0.017543859649122806,0.05,BA_N_100_M_11,0.4044318623581712,0.7099731125806361,7,38
0.015151515151515152,0.05,BA_N_100_M_11,0.41230967283930436,0.6774444541657008,7,39
0.2,0.05,BA_N_100_M_11,0.4264279814484701,0.6109739906709211,9,30
0.16,0.05,BA_N_100_M_11,0.46474111429380444,0.6240517668566282,9,31
0.17,0.05,BA_N_100_M_11,0.4383814878895569,0.6043007228181142,9,32
0.1919191919191919,0.05,BA_N_100_M_11,0.42895394510116797,0.6102910781039789,9,33
0.1717171717171717,0.05,BA_N_100_M_11,0.45483109234405633,0.6287593776382016,9,34
0.16161616161616163,0.05,BA_N_100_M_11,0.4537659493905327,0.6220277755234918,9,35
0.15151515151515152,0.05,BA_N_100_M_11,0.4614954061052809,0.6334162342475339,9,36
0.14432989690721648,0.05,BA_N_100_M_11,0.4102899238291066,0.6020527965365234,9,37
0.19,0.05,BA_N_100_M_11,0.38108434596035956,0.5850295689757918,9,38
0.18181818181818182,0.05,BA_N_100_M_11,0.41511326145326954,0.6038462674978078,9,39
0.19,0.05,BA_N_100_M_11,0.498248564212366,0.6695103042805717,11,30
0.18,0.05,BA_N_100_M_11,0.4878227660544565,0.6728405486090643,11,31
0.19,0.05,BA_N_100_M_11,0.4539565475718409,0.6525927620199857,11,32
0.18,0.05,BA_N_100_M_11,0.44878866767949405,0.6393792191421526,11,33
0.19,0.05,BA_N_100_M_11,0.4677114232917562,0.6448266701322981,11,34
0.16,0.05,BA_N_100_M_11,0.42550187236248826,0.6412721765805409,11,35
0.16,0.05,BA_N_100_M_11,0.43365091853182747,0.6282867588630198,11,36
0.16,0.05,BA_N_100_M_11,0.4717317510469218,0.6564991544221679,11,37
0.17,0.05,BA_N_100_M_11,0.45094739515418086,0.6543726991483899,11,38
0.15,0.05,BA_N_100_M_11,0.4777686047255503,0.6590001526033983,11,39
0.67,0.05,BA_N_100_M_11,0.534984886363879,0.36194390801176995,13,30
0.56,0.05,BA_N_100_M_11,0.5173183521291885,0.39254892044345074,13,31
0.62,0.05,BA_N_100_M_11,0.5634166773131097,0.3812073967441425,13,32
0.64,0.05,BA_N_100_M_11,0.5530129237539924,0.3830943754319594,13,33
0.61,0.05,BA_N_100_M_11,0.520256105294942,0.3615446506626128,13,34
