acc,gamma,graph,mse_naive,mse_our,rate,seed
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,40
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,41
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,42
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,43
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,44
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,45
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,46
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,47
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,48
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,49
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,40
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,41
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,42
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,43
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,44
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,45
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,46
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,47
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,48
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,49
0.0,0.05,BA_N_100_M_11,0.7971593855376133,0.9710929224849423,5,40
0.0,0.05,BA_N_100_M_11,0.7343079999912135,0.9868468303980443,5,41
0.0,0.05,BA_N_100_M_11,0.6769804519648908,0.9514246805566189,5,42
0.0,0.05,BA_N_100_M_11,0.5877450283202841,0.970147527178107,5,43
0.0,0.05,BA_N_100_M_11,0.7330950645737715,1.0,5,44
0.0,0.05,BA_N_100_M_11,0.9262765060609458,1.0,5,45
0.0,0.05,BA_N_100_M_11,0.5570937261720007,0.9886393921952725,5,46
0.0,0.05,BA_N_100_M_11,0.5579270227713807,0.9613836865120536,5,47
0.0,0.05,BA_N_100_M_11,0.6979863083268404,0.978372301472851,5,48
0.0,0.05,BA_N_100_M_11,0.7478074663067383,1.0,5,49
0.015625,0.05,BA_N_100_M_11,0.44035274821636217,0.7018175601328195,7,40
0.0,0.05,BA_N_100_M_11,0.4149472859388524,0.702610020901673,7,41
0.015151515151515152,0.05,BA_N_100_M_11,0.417357068520747,0.6960876367697473,7,42
0.030303030303030304,0.05,BA_N_100_M_11,0.44934385399117116,0.7013264189943642,7,43
0.0,0.05,BA_N_100_M_11,0.4295370035390296,0.6755484062273556,7,44
0.0,0.05,BA_N_100_M_11,0.4652297930065141,0.7174000028543298,7,45
0.0,0.05,BA_N_100_M_11,0.4276213460522401,0.6823639709104885,7,46
0.0,0.05,BA_N_100_M_11,0.48365726871652387,0.7313159279472876,7,47
0.0,0.05,BA_N_100_M_11,0.4106878841480544,0.6862923482719901,7,48
0.027777777777777776,0.05,BA_N_100_M_11,0.46277469628570894,0.6889927287419815,7,49
0.1919191919191919,0.05,BA_N_100_M_11,0.45769027797486267,0.6274695088125418,9,40
0.19,0.05,BA_N_100_M_11,0.4541106441241609,0.618130314491054,9,41
0.21212121212121213,0.05,BA_N_100_M_11,0.4300266408695434,0.6147676361676789,9,42
0.19,0.05,BA_N_100_M_11,0.38926567476287166,0.5882112809407789,9,43
0.18,0.05,BA_N_100_M_11,0.4218367396125557,0.602014343310449,9,44
0.22,0.05,BA_N_100_M_11,0.4364273572570949,0.6145113685295153,9,45
0.14,0.05,BA_N_100_M_11,0.44938941477295546,0.6103410107595076,9,46
0.18,0.05,BA_N_100_M_11,0.39640726151268846,0.5955566176134698,9,47
0.18,0.05,BA_N_100_M_11,0.4056418912677144,0.5932319575743259,9,48
0.15,0.05,BA_N_100_M_11,0.42628788527609923,0.6168177341820175,9,49
0.18,0.05,BA_N_100_M_11,0.45750864344229364,0.6448960677978754,11,40
0.14,0.05,BA_N_100_M_11,0.4725963684130302,0.6619055021345779,11,41
0.18,0.05,BA_N_100_M_11,0.48414935490589933,0.6735336931817844,11,42
0.12,0.05,BA_N_100_M_11,0.4391360185026944,0.6328000240966846,11,43
0.17,0.05,BA_N_100_M_11,0.49447666704228715,0.6677307880776002,11,44
0.19,0.05,BA_N_100_M_11,0.4265229811904704,0.6259237100445039,11,45
0.13,0.05,BA_N_100_M_11,0.5147714390167533,0.6804271872216799,11,46
0.13,0.05,BA_N_100_M_11,0.4699544318135579,0.6670968231952284,11,47
0.15,0.05,BA_N_100_M_11,0.41496614359348816,0.6248200496067001,11,48
0.17,0.05,BA_N_100_M_11,0.45936481423748915,0.6548701816748683,11,49
0.61,0.05,BA_N_100_M_11,0.5196773252255111,0.3554753591122911,13,40
0.58,0.05,BA_N_100_M_11,0.5357026136848843,0.39673295259580316,13,41
0.56,0.05,BA_N_100_M_11,0.5411192891181188,0.40215725059765717,13,42
0.59,0.05,BA_N_100_M_11,0.5248662113318013,0.37687067715353556,13,43
0.58,0.05,BA_N_100_M_11,0.5159566168579255,0.3734410486927852,13,44
0.59,0.05,BA_N_100_M_11,0.5360970399972467,0.4049164751977511,13,45
0.61,0.05,BA_N_100_M_11,0.5338919972919487,0.3925058526750019,13,46
0.59,0.05,BA_N_100_M_11,0.5394052813247423,0.3871432705477291,13,47
0.58,0.05,BA_N_100_M_11,0.5298469358420328,0.3685721191387983,13,48
0.57,0.05,BA_N_100_M_11,0.5075243702006541,0.3793918891875568,13,49
0.69,0.05,BA_N_100_M_11,0.6216089856458705,0.4108363426636605,15,40
0.73,0.05,BA_N_100_M_11,0.6264294468879447,0.4310870885946772,15,41
0.71,0.05,BA_N_100_M_11,0.6128972678029633,0.41754490245173936,15,42
0.69,0.05,BA_N_100_M_11,0.6092819283916752,0.42472807465459705,15,43
0.63,0.05,BA_N_100_M_11,0.5793155172357108,0.42275605873695604,15,44
0.67,0.05,BA_N_100_M_11,0.6111042967396866,0.44030162522980043,15,45
0.63,0.05,BA_N_100_M_11,0.5931927189113892,0.4329420075482867,15,46
0.71,0.05,BA_N_100_M_11,0.6156028001159629,0.41346540605251236,15,47
0.69,0.05,BA_N_100_M_11,0.5924790908981761,0.45841550041023343,15,48
0.71,0.05,BA_N_100_M_11,0.6303672333326996,0.4156504807236937,15,49
0.84,0.05,BA_N_100_M_11,0.6543490181247935,0.3380908467631546,17,40
0.84,0.05,BA_N_100_M_11,0.6900594287116364,0.33319309063373587,17,41
0.82,0.05,BA_N_100_M_11,0.6377508202147916,0.3510248748111886,17,42
0.74,0.05,BA_N_100_M_11,0.621224746344148,0.4229404119959804,17,43
0.81,0.05,BA_N_100_M_11,0.6487161968305806,0.362031597432921,17,44
0.87,0.05,BA_N_100_M_11,0.6780622522791698,0.3135287369392124,17,45
0.79,0.05,BA_N_100_M_11,0.6550323643132073,0.34764676341698,17,46
0.77,0.05,BA_N_100_M_11,0.6654905598205637,0.37343230662349924,17,47
0.8,0.05,BA_N_100_M_11,0.6131141391070696,0.3915109857440935,17,48
0.76,0.05,BA_N_100_M_11,0.6415376775331691,0.39449031867195866,17,49
0.91,0.05,BA_N_100_M_11,0.692829126351503,0.26900935780611374,19,40
0.91,0.05,BA_N_100_M_11,0.6860881764920911,0.27426402898392976,19,41
0.93,0.05,BA_N_100_M_11,0.6681669281875102,0.25908028542868067,19,42
0.9,0.05,BA_N_100_M_11,0.6848638451661387,0.2875282608049422,19,43
0.92,0.05,BA_N_100_M_11,0.668197499706832,0.26803927135217104,19,44
0.92,0.05,BA_N_100_M_11,0.6836489322919193,0.27075583310986173,19,45
0.94,0.05,BA_N_100_M_11,0.7147979224820419,0.22869423011922071,19,46
0.89,0.05,BA_N_100_M_11,0.674258542713341,0.3024623413883699,19,47
0.91,0.05,BA_N_100_M_11,0.6739187553376188,0.2794618855141486,19,48
0.92,0.05,BA_N_100_M_11,0.6759122179108387,0.2644341574519482,19,49
0.96,0.05,BA_N_100_M_11,0.7001288414678309,0.19467031588538738,21,40
0.95,0.05,BA_N_100_M_11,0.7020994642017919,0.21483685729423063,21,41
0.97,0.05,BA_N_100_M_11,0.6722839442594051,0.17320508075688773,21,42
0.97,0.05,BA_N_100_M_11,0.717830657570234,0.16649503515174138,21,43
0.95,0.05,BA_N_100_M_11,0.7041168073234725,0.21392635078477523,21,44
