acc,gamma,graph,mse_naive,mse_our,rate,seed
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,10
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,11
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,12
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,13
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,14
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,15
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,16
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,17
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,18
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,19
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,10
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,11
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,12
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,13
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,14
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,15
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,16
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,17
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,18
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,19
0.0,0.05,WS_N_100_K_30_P_0.2,0.3394235259303983,0.9653906909951487,5,10
0.0,0.05,WS_N_100_K_30_P_0.2,0.3253382234572669,0.9492900616105319,5,11
0.0,0.05,WS_N_100_K_30_P_0.2,0.36256073534627103,0.9863357829076217,5,12
0.0,0.05,WS_N_100_K_30_P_0.2,0.3402580490162709,0.9876068718608183,5,13
0.0,0.05,WS_N_100_K_30_P_0.2,0.32741415562687537,0.9684374420661441,5,14
0.0,0.05,WS_N_100_K_30_P_0.2,0.31860046069524517,0.9497338299202969,5,15
0.0,0.05,WS_N_100_K_30_P_0.2,0.3567822703945293,0.9929342210574368,5,16
0.0,0.05,WS_N_100_K_30_P_0.2,0.35736617271014076,0.9832122365091899,5,17
0.0,0.05,WS_N_100_K_30_P_0.2,0.3787043830476556,0.9914917477468879,5,18
0.0,0.05,WS_N_100_K_30_P_0.2,0.39285714285714285,1.0,5,19
0.07042253521126761,0.05,WS_N_100_K_30_P_0.2,0.21602919753960806,0.6848231979435235,7,10
0.056338028169014086,0.05,WS_N_100_K_30_P_0.2,0.22101773164972865,0.6815914698433718,7,11
0.04477611940298507,0.05,WS_N_100_K_30_P_0.2,0.21224926348389234,0.7035158518279749,7,12
0.05714285714285714,0.05,WS_N_100_K_30_P_0.2,0.2291160320367155,0.6840249866945299,7,13
0.08108108108108109,0.05,WS_N_100_K_30_P_0.2,0.23266155233690505,0.6817014077503456,7,14
0.06944444444444445,0.05,WS_N_100_K_30_P_0.2,0.22380676997366938,0.6877946648272344,7,15
