gamma,rate,seed,acc,mse_our,mse_naive,graph
0.05,27,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.05,27,2,0.99,0.1,0.3736719371252514,WS_N_100_K_30_P_0.2
0.05,27,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.05,27,4,0.99,0.1,0.3747283325488726,WS_N_100_K_30_P_0.2
0.05,28,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.05,28,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.05,28,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.05,28,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.05,28,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.05,29,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.05,29,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.05,29,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.05,29,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.05,29,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.1,15,0,0.68,0.4020002898208556,0.37157657559712326,WS_N_100_K_30_P_0.2
0.1,15,1,0.54,0.42959994759916137,0.34055252998667845,WS_N_100_K_30_P_0.2
0.1,15,2,0.6,0.4518458783914582,0.3635843833839143,WS_N_100_K_30_P_0.2
0.1,15,3,0.67,0.41406426974763255,0.3694087656521516,WS_N_100_K_30_P_0.2
0.1,15,4,0.57,0.42369117005490403,0.3466432365850341,WS_N_100_K_30_P_0.2
0.1,16,0,0.69,0.43608609594336195,0.38525292115473925,WS_N_100_K_30_P_0.2
0.1,16,1,0.71,0.38841745833179164,0.36555028922635674,WS_N_100_K_30_P_0.2
0.1,16,2,0.71,0.38595679117477255,0.36494347274695865,WS_N_100_K_30_P_0.2
0.1,16,3,0.72,0.40394930247138855,0.3737623742503034,WS_N_100_K_30_P_0.2
0.1,16,4,0.66,0.41166039770952206,0.3657287606983298,WS_N_100_K_30_P_0.2
0.1,17,0,0.63,0.4118477271557085,0.354134019273106,WS_N_100_K_30_P_0.2
0.1,17,1,0.78,0.3761963718618128,0.38974633693249633,WS_N_100_K_30_P_0.2
0.1,17,2,0.75,0.38452438394809885,0.3817578583562807,WS_N_100_K_30_P_0.2
0.1,17,3,0.73,0.3903692078470289,0.3724134476914784,WS_N_100_K_30_P_0.2
0.1,17,4,0.83,0.3650273512778469,0.3976443475325932,WS_N_100_K_30_P_0.2
0.1,18,0,0.76,0.3837816701343802,0.38157102298019546,WS_N_100_K_30_P_0.2
0.1,18,1,0.82,0.35592616755585094,0.3887514838707544,WS_N_100_K_30_P_0.2
0.1,18,2,0.77,0.3789160797360498,0.38353426335159446,WS_N_100_K_30_P_0.2
0.1,18,3,0.87,0.32041305631135775,0.3928486207679392,WS_N_100_K_30_P_0.2
