acc,gamma,graph,mse_naive,mse_our,rate,seed
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,0
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,1
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,2
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,3
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,4
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,5
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,6
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,7
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,8
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,9
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,0
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,1
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,2
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,3
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,4
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,5
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,6
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,7
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,8
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,9
0.0,0.05,WS_N_100_K_30_P_0.2,0.36294675209721794,0.9869853196376036,5,0
0.0,0.05,WS_N_100_K_30_P_0.2,0.36666666666666664,1.0,5,1
0.0,0.05,WS_N_100_K_30_P_0.2,0.3767250305688054,0.9914917477468879,5,2
0.0,0.05,WS_N_100_K_30_P_0.2,0.3793103448275862,1.0,5,3
0.0,0.05,WS_N_100_K_30_P_0.2,0.333054240013486,0.9598414989470228,5,4
0.0,0.05,WS_N_100_K_30_P_0.2,0.3289098783143236,0.9489931369092113,5,5
0.0,0.05,WS_N_100_K_30_P_0.2,0.34869369143563267,0.983704745579271,5,6
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,5,7
