acc,gamma,graph,mse_naive,mse_our,rate,seed
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,20
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,21
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,22
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,23
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,24
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,25
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,26
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,27
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,28
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,1,29
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,20
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,21
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,22
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,23
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,24
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,25
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,26
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,27
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,28
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,3,29
0.0,0.05,BA_N_100_M_11,0.6625897078394578,0.9566827504135603,5,20
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,5,21
0.0,0.05,BA_N_100_M_11,0.7957069958292263,0.9925688074212108,5,22
0.0,0.05,BA_N_100_M_11,0.5964124328520228,0.9921269820953681,5,23
0.0,0.05,BA_N_100_M_11,0.9003691380223148,0.9750335047093099,5,24
0.0,0.05,BA_N_100_M_11,0.6719255702877803,1.0,5,25
0.5,0.05,BA_N_100_M_11,-1.0,-1.0,5,26
0.0,0.05,BA_N_100_M_11,0.7902394295000332,0.9660977237080639,5,27
0.0,0.05,BA_N_100_M_11,0.7411062933308085,0.9875956498754235,5,28
0.0,0.05,BA_N_100_M_11,0.6550209620816778,0.9822031968662791,5,29
0.0,0.05,BA_N_100_M_11,0.4469785553789428,0.70770393359008,7,20
0.0,0.05,BA_N_100_M_11,0.43097222659068357,0.7410248108685367,7,21
0.06666666666666667,0.05,BA_N_100_M_11,0.38696997059165666,0.6378387801404442,7,22
0.0,0.05,BA_N_100_M_11,0.4952081302122438,0.7345212185230617,7,23
0.015151515151515152,0.05,BA_N_100_M_11,0.4325743147943353,0.6880363636185158,7,24
0.0,0.05,BA_N_100_M_11,0.5054335899893961,0.7772830992601429,7,25
0.028985507246376812,0.05,BA_N_100_M_11,0.403609594070121,0.6545341921676278,7,26
0.0,0.05,BA_N_100_M_11,0.44989355420021454,0.7151656043500763,7,27
0.0,0.05,BA_N_100_M_11,0.4388908306691911,0.7080058840355414,7,28
0.04411764705882353,0.05,BA_N_100_M_11,0.4277458816324044,0.6805009563585481,7,29
0.19,0.05,BA_N_100_M_11,0.3825290806142914,0.5868528880067159,9,20
0.16,0.05,BA_N_100_M_11,0.40773600578895847,0.6026174254725882,9,21
0.18181818181818182,0.05,BA_N_100_M_11,0.4371786887505227,0.618188381083643,9,22
0.17,0.05,BA_N_100_M_11,0.4428298189770431,0.6149191470064983,9,23
0.15,0.05,BA_N_100_M_11,0.46395081602685534,0.6287444693297549,9,24
0.18,0.05,BA_N_100_M_11,0.42816625059726626,0.6136883243066379,9,25
0.14,0.05,BA_N_100_M_11,0.40806681436315956,0.5978700022678474,9,26
0.15,0.05,BA_N_100_M_11,0.4502454578551838,0.6158012409929517,9,27
0.17,0.05,BA_N_100_M_11,0.4124560236502577,0.5963242438173219,9,28
0.15,0.05,BA_N_100_M_11,0.3981976838996055,0.6037346677356011,9,29
0.16,0.05,BA_N_100_M_11,0.4383023436318747,0.643259019318442,11,20
0.15,0.05,BA_N_100_M_11,0.4982010534362509,0.6625550873091858,11,21
0.14,0.05,BA_N_100_M_11,0.47131085722785887,0.6449781993080081,11,22
0.19,0.05,BA_N_100_M_11,0.48286144486814997,0.6584089134264304,11,23
0.12,0.05,BA_N_100_M_11,0.42034778451848337,0.6176365381179474,11,24
0.14,0.05,BA_N_100_M_11,0.46302912159331117,0.6653117098364921,11,25
0.14,0.05,BA_N_100_M_11,0.4111844701158445,0.616182334340483,11,26
0.14,0.05,BA_N_100_M_11,0.4401167190321972,0.6322978183425136,11,27
