acc,gamma,graph,mse_naive,mse_our,rate,seed
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,40
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,41
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,42
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,43
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,44
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,45
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,46
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,47
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,48
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,49
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,40
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,41
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,42
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,43
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,44
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,45
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,46
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,47
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,48
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,49
0.0,0.05,WS_N_100_K_30_P_0.2,0.3444774600945948,0.9670674145708671,5,40
0.0,0.05,WS_N_100_K_30_P_0.2,0.389342169455415,1.0,5,41
0.0,0.05,WS_N_100_K_30_P_0.2,0.3200938969572846,0.9421461310268088,5,42
0.0,0.05,WS_N_100_K_30_P_0.2,0.3697462710056885,0.9816561689406349,5,43
0.0,0.05,WS_N_100_K_30_P_0.2,0.3615529744738285,0.9878086299208649,5,44
0.0,0.05,WS_N_100_K_30_P_0.2,0.3503966006938106,1.0,5,45
0.0,0.05,WS_N_100_K_30_P_0.2,0.36632018204767625,0.9886393921952725,5,46
0.0,0.05,WS_N_100_K_30_P_0.2,0.3755609452838972,0.9880236676326736,5,47
0.0,0.05,WS_N_100_K_30_P_0.2,0.327262641334981,0.9629731451570835,5,48
0.0,0.05,WS_N_100_K_30_P_0.2,0.400524577530083,0.9873459733071873,5,49
0.10666666666666667,0.05,WS_N_100_K_30_P_0.2,0.2202185005031612,0.6656747993359113,7,40
0.0,0.05,WS_N_100_K_30_P_0.2,0.19871414580340516,0.7293470370362107,7,41
0.06666666666666667,0.05,WS_N_100_K_30_P_0.2,0.22059569340123472,0.6712141145869659,7,42
0.04285714285714286,0.05,WS_N_100_K_30_P_0.2,0.20463789400910332,0.6828133926609776,7,43
0.09722222222222222,0.05,WS_N_100_K_30_P_0.2,0.22272090965921804,0.6868941561304436,7,44
0.0,0.05,WS_N_100_K_30_P_0.2,0.22034820956244097,0.714969597357465,7,45
0.029850746268656716,0.05,WS_N_100_K_30_P_0.2,0.21793540844960085,0.7055093044813974,7,46
0.1111111111111111,0.05,WS_N_100_K_30_P_0.2,0.2421510769673008,0.6839772628151485,7,47
0.10526315789473684,0.05,WS_N_100_K_30_P_0.2,0.23430574799867995,0.6746719104798361,7,48
0.17857142857142858,0.05,WS_N_100_K_30_P_0.2,0.260400386096503,0.642440041388573,7,49
0.26,0.05,WS_N_100_K_30_P_0.2,0.3231087474766383,0.6153802928938107,9,40
0.35,0.05,WS_N_100_K_30_P_0.2,0.3266843069914465,0.6092587021927504,9,41
0.3,0.05,WS_N_100_K_30_P_0.2,0.3168705138703145,0.6078037770693739,9,42
0.28,0.05,WS_N_100_K_30_P_0.2,0.3240893269523258,0.6148582465093034,9,43
0.31,0.05,WS_N_100_K_30_P_0.2,0.324902931751819,0.6123971107468169,9,44
0.3,0.05,WS_N_100_K_30_P_0.2,0.3366717049726822,0.6171369394196917,9,45
0.32,0.05,WS_N_100_K_30_P_0.2,0.3238448687170598,0.6064188384811525,9,46
0.3,0.05,WS_N_100_K_30_P_0.2,0.3224891455817616,0.6091203461064316,9,47
0.32,0.05,WS_N_100_K_30_P_0.2,0.32013767767594437,0.6042954924650354,9,48
0.29,0.05,WS_N_100_K_30_P_0.2,0.32467246205833805,0.6202218710197138,9,49
0.25,0.05,WS_N_100_K_30_P_0.2,0.3275298816805135,0.6561949180687348,11,40
0.24,0.05,WS_N_100_K_30_P_0.2,0.3322353102656336,0.6804224598184458,11,41
0.28,0.05,WS_N_100_K_30_P_0.2,0.3319049227942435,0.656032330351409,11,42
0.26,0.05,WS_N_100_K_30_P_0.2,0.3347691138251274,0.6654351768323239,11,43
0.24,0.05,WS_N_100_K_30_P_0.2,0.3259139367090983,0.6716453618219028,11,44
0.25,0.05,WS_N_100_K_30_P_0.2,0.3283009306342503,0.6738013375013775,11,45
0.25,0.05,WS_N_100_K_30_P_0.2,0.32782018669336727,0.6729283052544605,11,46
0.25,0.05,WS_N_100_K_30_P_0.2,0.33835418694441843,0.6926523893846339,11,47
0.29,0.05,WS_N_100_K_30_P_0.2,0.3299684300435691,0.6575357034967977,11,48
0.24,0.05,WS_N_100_K_30_P_0.2,0.3348363106429203,0.6792842765415372,11,49
0.42,0.05,WS_N_100_K_30_P_0.2,0.3240955128689425,0.38769186498886055,13,40
0.42,0.05,WS_N_100_K_30_P_0.2,0.3418223738703962,0.4193140945563455,13,41
0.52,0.05,WS_N_100_K_30_P_0.2,0.3664277286998607,0.41984042817578876,13,42
